soc_code,soc_title,status,industry_or_reason,method,flag,base_naics,base_naics_title
11-1011,Chief Executives,EXCLUDED,cross_or_other:110000,major_group,False,,
11-1021,General and Operations Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-1031,Legislators,EXCLUDED,cross_or_other:110000,major_group,False,,
11-2011,Advertising and Promotions Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-2021,Marketing Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-2022,Sales Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-2032,Public Relations Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-2033,Fundraising Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3012,Administrative Services Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3013,Facilities Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3021,Computer and Information Systems Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3031,Financial Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3051,Industrial Production Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3061,Purchasing Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3071,"Transportation, Storage, and Distribution Managers",EXCLUDED,cross_or_other:110000,major_group,False,,
11-3111,Compensation and Benefits Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3121,Human Resources Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-3131,Training and Development Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9021,Construction Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9031,"Education and Childcare Administrators, Preschool and Daycare",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9032,"Education Administrators, Kindergarten through Secondary",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9033,"Education Administrators, Postsecondary",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9039,"Education Administrators, All Other",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9041,Architectural and Engineering Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9051,Food Service Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9071,Gambling Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9072,"Entertainment and Recreation Managers, Except Gambling",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9081,Lodging Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9111,Medical and Health Services Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9121,Natural Sciences Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9131,Postmasters and Mail Superintendents,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9141,"Property, Real Estate, and Community Association Managers",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9151,Social and Community Service Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9161,Emergency Management Directors,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9171,Funeral Home Managers,EXCLUDED,cross_or_other:110000,major_group,False,,
11-9179,"Personal Service Managers, All Other",EXCLUDED,cross_or_other:110000,major_group,False,,
11-9199,"Managers, All Other",EXCLUDED,cross_or_other:110000,major_group,False,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1021,"Buyers and Purchasing Agents, Farm Products",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1031,"Claims Adjusters, Examiners, and Investigators",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1032,"Insurance Appraisers, Auto Damage",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1041,Compliance Officers,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1051,Cost Estimators,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1071,Human Resources Specialists,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1074,Farm Labor Contractors,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1075,Labor Relations Specialists,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1081,Logisticians,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1082,Project Management Specialists,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1111,Management Analysts,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1121,"Meeting, Convention, and Event Planners",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1131,Fundraisers,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",EXCLUDED,cross_or_other:130000,major_group,False,,
13-1151,Training and Development Specialists,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1161,Market Research Analysts and Marketing Specialists,EXCLUDED,cross_or_other:130000,major_group,False,,
13-1199,"Business Operations Specialists, All Other",EXCLUDED,cross_or_other:130000,major_group,False,,
13-2011,Accountants and Auditors,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2022,Appraisers of Personal and Business Property,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2023,Appraisers and Assessors of Real Estate,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2031,Budget Analysts,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2041,Credit Analysts,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2051,Financial and Investment Analysts,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2052,Personal Financial Advisors,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2053,Insurance Underwriters,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2054,Financial Risk Specialists,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2061,Financial Examiners,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2071,Credit Counselors,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2072,Loan Officers,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",EXCLUDED,cross_or_other:130000,major_group,False,,
13-2082,Tax Preparers,EXCLUDED,cross_or_other:130000,major_group,False,,
13-2099,"Financial Specialists, All Other",EXCLUDED,cross_or_other:130000,major_group,False,,
19-1011,Animal Scientists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1012,Food Scientists and Technologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1013,Soil and Plant Scientists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1021,Biochemists and Biophysicists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1022,Microbiologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1023,Zoologists and Wildlife Biologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1029,"Biological Scientists, All Other",EXCLUDED,cross_or_other:190000,major_group,False,,
19-1031,Conservation Scientists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1032,Foresters,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1041,Epidemiologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-1042,"Medical Scientists, Except Epidemiologists",EXCLUDED,cross_or_other:190000,major_group,False,,
19-1099,"Life Scientists, All Other",EXCLUDED,cross_or_other:190000,major_group,False,,
19-2011,Astronomers,EXCLUDED,cross_or_other:190000,major_group,False,,
19-2012,Physicists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-2021,Atmospheric and Space Scientists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-2031,Chemists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-2032,Materials Scientists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-2041,"Environmental Scientists and Specialists, Including Health",EXCLUDED,cross_or_other:190000,major_group,False,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",EXCLUDED,cross_or_other:190000,major_group,False,,
19-2043,Hydrologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-2099,"Physical Scientists, All Other",EXCLUDED,cross_or_other:190000,major_group,False,,
19-3011,Economists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3022,Survey Researchers,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3032,Industrial-Organizational Psychologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3033,Clinical and Counseling Psychologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3034,School Psychologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3039,"Psychologists, All Other",EXCLUDED,cross_or_other:190000,major_group,False,,
19-3041,Sociologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3051,Urban and Regional Planners,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3091,Anthropologists and Archeologists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3092,Geographers,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3093,Historians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3094,Political Scientists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-3099,"Social Scientists and Related Workers, All Other",EXCLUDED,cross_or_other:190000,major_group,False,,
19-4012,Agricultural Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4013,Food Science Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4021,Biological Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4031,Chemical Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4042,"Environmental Science and Protection Technicians, Including Health",EXCLUDED,cross_or_other:190000,major_group,False,,
19-4043,"Geological Technicians, Except Hydrologic Technicians",EXCLUDED,cross_or_other:190000,major_group,False,,
19-4044,Hydrologic Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4051,Nuclear Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4061,Social Science Research Assistants,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4071,Forest and Conservation Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4092,Forensic Science Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
19-4099,"Life, Physical, and Social Science Technicians, All Other",EXCLUDED,cross_or_other:190000,major_group,False,,
19-5011,Occupational Health and Safety Specialists,EXCLUDED,cross_or_other:190000,major_group,False,,
19-5012,Occupational Health and Safety Technicians,EXCLUDED,cross_or_other:190000,major_group,False,,
21-1011,Substance Abuse and Behavioral Disorder Counselors,EXCLUDED,cross_or_other:210000,major_group,False,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",EXCLUDED,cross_or_other:210000,major_group,False,,
21-1013,Marriage and Family Therapists,EXCLUDED,cross_or_other:210000,major_group,False,,
21-1014,Mental Health Counselors,EXCLUDED,cross_or_other:210000,major_group,False,,
21-1015,Rehabilitation Counselors,EXCLUDED,cross_or_other:210000,major_group,False,,
21-1019,"Counselors, All Other",EXCLUDED,cross_or_other:210000,major_group,False,,
21-1021,"Child, Family, and School Social Workers",EXCLUDED,cross_or_other:210000,major_group,False,,
21-1022,Healthcare Social Workers,EXCLUDED,cross_or_other:210000,major_group,False,,
21-1023,Mental Health and Substance Abuse Social Workers,EXCLUDED,cross_or_other:210000,major_group,False,,
21-1029,"Social Workers, All Other",EXCLUDED,cross_or_other:210000,major_group,False,,
21-1091,Health Education Specialists,EXCLUDED,cross_or_other:210000,major_group,False,,
21-1092,Probation Officers and Correctional Treatment Specialists,EXCLUDED,cross_or_other:210000,major_group,False,,
