naics3,naics_title,tier,client_industry,soc_code,employment,rank
113000,Forestry and Logging,NON_CORE,,45-4022,16680,0
113000,Forestry and Logging,NON_CORE,,53-3032,8040,1
113000,Forestry and Logging,NON_CORE,,45-4021,2440,2
113000,Forestry and Logging,NON_CORE,,45-1011,2420,3
113000,Forestry and Logging,NON_CORE,,43-9061,1550,4
113000,Forestry and Logging,NON_CORE,,45-4029,1420,5
113000,Forestry and Logging,NON_CORE,,49-3042,1150,6
113000,Forestry and Logging,NON_CORE,,43-3031,1070,7
113000,Forestry and Logging,NON_CORE,,43-6014,770,8
113000,Forestry and Logging,NON_CORE,,19-1032,650,9
113000,Forestry and Logging,NON_CORE,,11-1021,540,10
113000,Forestry and Logging,NON_CORE,,47-2073,500,11
113000,Forestry and Logging,NON_CORE,,53-7062,460,12
113000,Forestry and Logging,NON_CORE,,51-7041,430,13
113000,Forestry and Logging,NON_CORE,,53-7051,230,14
113000,Forestry and Logging,NON_CORE,,11-9199,210,15
113000,Forestry and Logging,NON_CORE,,49-3031,210,16
113000,Forestry and Logging,NON_CORE,,13-2011,170,17
113000,Forestry and Logging,NON_CORE,,53-1047,140,18
113000,Forestry and Logging,NON_CORE,,43-1011,140,19
113000,Forestry and Logging,NON_CORE,,13-1020,120,20
113000,Forestry and Logging,NON_CORE,,45-4023,120,21
113000,Forestry and Logging,NON_CORE,,33-9032,90,22
113000,Forestry and Logging,NON_CORE,,43-3051,80,23
113000,Forestry and Logging,NON_CORE,,49-9071,80,24
113000,Forestry and Logging,NON_CORE,,41-4012,70,25
113000,Forestry and Logging,NON_CORE,,49-1011,70,26
113000,Forestry and Logging,NON_CORE,,13-1199,60,27
113000,Forestry and Logging,NON_CORE,,13-1161,50,28
113000,Forestry and Logging,NON_CORE,,53-7041,50,29
113000,Forestry and Logging,NON_CORE,,13-1082,40,30
113000,Forestry and Logging,NON_CORE,,43-6011,40,31
113000,Forestry and Logging,NON_CORE,,37-2011,40,32
113000,Forestry and Logging,NON_CORE,,53-7061,30,33
113000,Forestry and Logging,NON_CORE,,49-9098,0,34
113000,Forestry and Logging,NON_CORE,,11-3051,0,35
113000,Forestry and Logging,NON_CORE,,53-7063,0,36
115000,Support Activities for Agriculture and Forestry,NON_CORE,,45-2092,196080,0
115000,Support Activities for Agriculture and Forestry,NON_CORE,,53-7064,17920,1
115000,Support Activities for Agriculture and Forestry,NON_CORE,,45-2091,14820,2
115000,Support Activities for Agriculture and Forestry,NON_CORE,,45-1011,12790,3
115000,Support Activities for Agriculture and Forestry,NON_CORE,,45-2093,12770,4
115000,Support Activities for Agriculture and Forestry,NON_CORE,,53-7062,9250,5
115000,Support Activities for Agriculture and Forestry,NON_CORE,,45-2041,8620,6
115000,Support Activities for Agriculture and Forestry,NON_CORE,,53-3032,6900,7
115000,Support Activities for Agriculture and Forestry,NON_CORE,,53-7051,6820,8
115000,Support Activities for Agriculture and Forestry,NON_CORE,,39-2021,5870,9
115000,Support Activities for Agriculture and Forestry,NON_CORE,,43-9061,5140,10
115000,Support Activities for Agriculture and Forestry,NON_CORE,,11-1021,5120,11
115000,Support Activities for Agriculture and Forestry,NON_CORE,,51-9111,4740,12
115000,Support Activities for Agriculture and Forestry,NON_CORE,,49-3041,3260,13
115000,Support Activities for Agriculture and Forestry,NON_CORE,,49-9071,3080,14
115000,Support Activities for Agriculture and Forestry,NON_CORE,,11-9013,3040,15
115000,Support Activities for Agriculture and Forestry,NON_CORE,,43-3031,3030,16
115000,Support Activities for Agriculture and Forestry,NON_CORE,,37-2011,2610,17
115000,Support Activities for Agriculture and Forestry,NON_CORE,,43-6014,2350,18
115000,Support Activities for Agriculture and Forestry,NON_CORE,,51-9061,2080,19
115000,Support Activities for Agriculture and Forestry,NON_CORE,,37-3012,2030,20
115000,Support Activities for Agriculture and Forestry,NON_CORE,,43-5071,2020,21
115000,Support Activities for Agriculture and Forestry,NON_CORE,,53-7061,1950,22
115000,Support Activities for Agriculture and Forestry,NON_CORE,,53-1047,1710,23
115000,Support Activities for Agriculture and Forestry,NON_CORE,,41-4012,1530,24
115000,Support Activities for Agriculture and Forestry,NON_CORE,,51-1011,1500,25
115000,Support Activities for Agriculture and Forestry,NON_CORE,,43-1011,1490,26
115000,Support Activities for Agriculture and Forestry,NON_CORE,,39-2011,1430,27
115000,Support Activities for Agriculture and Forestry,NON_CORE,,19-4012,1270,28
115000,Support Activities for Agriculture and Forestry,NON_CORE,,49-9041,1110,29
115000,Support Activities for Agriculture and Forestry,NON_CORE,,43-3051,1100,30
115000,Support Activities for Agriculture and Forestry,NON_CORE,,37-3011,970,31
115000,Support Activities for Agriculture and Forestry,NON_CORE,,13-2011,940,32
115000,Support Activities for Agriculture and Forestry,NON_CORE,,53-2012,830,33
115000,Support Activities for Agriculture and Forestry,NON_CORE,,19-1013,770,34
115000,Support Activities for Agriculture and Forestry,NON_CORE,,45-2021,750,35
115000,Support Activities for Agriculture and Forestry,NON_CORE,,51-9012,740,36
115000,Support Activities for Agriculture and Forestry,NON_CORE,,13-1071,680,37
115000,Support Activities for Agriculture and Forestry,NON_CORE,,49-1011,670,38
115000,Support Activities for Agriculture and Forestry,NON_CORE,,41-3091,660,39
211000,Oil and Gas Extraction,NON_CORE,,53-7073,12190,0
211000,Oil and Gas Extraction,NON_CORE,,47-5013,10010,1
211000,Oil and Gas Extraction,NON_CORE,,11-1021,6710,2
211000,Oil and Gas Extraction,NON_CORE,,17-2171,5900,3
211000,Oil and Gas Extraction,NON_CORE,,13-2011,5040,4
211000,Oil and Gas Extraction,NON_CORE,,49-9041,4480,5
211000,Oil and Gas Extraction,NON_CORE,,47-5071,4220,6
211000,Oil and Gas Extraction,NON_CORE,,47-1011,4180,7
211000,Oil and Gas Extraction,NON_CORE,,19-2042,2780,8
211000,Oil and Gas Extraction,NON_CORE,,11-3031,2350,9
211000,Oil and Gas Extraction,NON_CORE,,43-9061,2170,10
211000,Oil and Gas Extraction,NON_CORE,,47-5012,2080,11
